Time (s), Voltage (V), Current (A), SOC (%)
704, 3.44, 0.20, 4.79, 
705, 3.44, 0.20, 4.80, 
706, 3.44, 0.20, 4.80, 
707, 3.44, 0.20, 4.81, 
708, 3.44, 0.20, 4.82, 
709, 3.44, 0.20, 4.82, 
710, 3.44, 0.20, 4.83, 
711, 3.44, 0.20, 4.84, 
712, 3.44, 0.20, 4.84, 
713, 3.44, 0.20, 4.85, 
714, 3.45, 0.20, 4.86, 
715, 3.44, 0.20, 4.87, 
716, 3.45, 0.20, 4.87, 
717, 3.44, 0.20, 4.88, 
718, 3.45, 0.20, 4.89, 
719, 3.45, 0.20, 4.89, 
720, 3.45, 0.20, 4.90, 
721, 3.44, 0.20, 4.91, 
722, 3.45, 0.20, 4.91, 
723, 3.45, 0.20, 4.92, 
724, 3.45, 0.20, 4.93, 
725, 3.45, 0.20, 4.93, 
726, 3.45, 0.20, 4.94, 
727, 3.45, 0.20, 4.95, 
728, 3.44, 0.20, 4.95, 
