Time (s), Voltage (V), Current (A), SOC (%)
558, 3.34, 0.56, 12.38, 
559, 3.34, 0.56, 12.40, 
560, 3.34, 0.56, 12.42, 
561, 3.35, 0.56, 12.44, 
562, 3.34, 0.56, 12.46, 
563, 3.35, 0.56, 12.48, 
564, 3.34, 0.56, 12.50, 
565, 3.35, 0.56, 12.52, 
566, 3.34, 0.56, 12.54, 
567, 3.35, 0.56, 12.56, 
568, 3.35, 0.56, 12.57, 
569, 3.35, 0.56, 12.59, 
570, 3.35, 0.56, 12.61, 
571, 3.35, 0.56, 12.63, 
572, 3.35, 0.56, 12.65, 
573, 3.35, 0.56, 12.67, 
574, 3.35, 0.56, 12.69, 
575, 3.35, 0.56, 12.71, 
576, 3.35, 0.56, 12.73, 
577, 3.35, 0.56, 12.75, 
578, 3.35, 0.56, 12.77, 
579, 3.35, 0.56, 12.79, 
580, 3.35, 0.56, 12.81, 
581, 3.35, 0.56, 12.83, 
582, 3.35, 0.56, 12.85, 
583, 3.35, 0.56, 12.87, 
584, 3.35, 0.56, 12.88, 
585, 3.35, 0.56, 12.90, 
586, 3.35, 0.56, 12.92, 
587, 3.35, 0.56, 12.94, 
588, 3.35, 0.56, 12.96, 
589, 3.35, 0.56, 12.98, 
590, 3.35, 0.56, 13.00, 
591, 3.35, 0.55, 13.02, 
592, 3.35, 0.56, 13.04, 
593, 3.35, 0.56, 13.06, 
594, 3.35, 0.56, 13.08, 
595, 3.35, 0.56, 13.10, 
596, 3.35, 0.56, 13.12, 
597, 3.35, 0.55, 13.14, 
598, 3.35, 0.56, 13.16, 
599, 3.36, 0.55, 13.17, 
600, 3.35, 0.55, 13.19, 
601, 3.35, 0.55, 13.21, 
602, 3.35, 0.55, 13.23, 
603, 3.35, 0.55, 13.25, 
604, 3.36, 0.55, 13.27, 
605, 3.36, 0.55, 13.29, 
606, 3.35, 0.55, 13.31, 
607, 3.36, 0.55, 13.33, 
608, 3.35, 0.55, 13.35, 
609, 3.36, 0.55, 13.37, 
610, 3.36, 0.55, 13.39, 
611, 3.35, 0.55, 13.41, 
612, 3.36, 0.55, 13.42, 
613, 3.36, 0.55, 13.44, 
614, 3.36, 0.55, 13.46, 
615, 3.36, 0.55, 13.48, 
616, 3.36, 0.55, 13.50, 
617, 3.36, 0.55, 13.52, 
618, 3.36, 0.55, 13.54, 
619, 3.36, 0.55, 13.56, 
620, 3.36, 0.55, 13.58, 
621, 3.36, 0.55, 13.60, 
622, 3.36, 0.55, 13.62, 
623, 3.36, 0.55, 13.64, 
624, 3.36, 0.55, 13.65, 
625, 3.36, 0.55, 13.67, 
626, 3.36, 0.55, 13.69, 
627, 3.36, 0.55, 13.71, 
628, 3.36, 0.55, 13.73, 
629, 3.36, 0.55, 13.75, 
630, 3.36, 0.55, 13.77, 
631, 3.36, 0.55, 13.79, 
632, 3.37, 0.55, 13.81, 
633, 3.36, 0.55, 13.83, 
634, 3.36, 0.55, 13.85, 
635, 3.36, 0.55, 13.87, 
636, 3.37, 0.55, 13.88, 
637, 3.36, 0.55, 13.90, 
638, 3.36, 0.55, 13.92, 
639, 3.36, 0.55, 13.94, 
640, 3.36, 0.55, 13.96, 
641, 3.36, 0.55, 13.98, 
642, 3.36, 0.55, 14.00, 
643, 3.36, 0.55, 14.02, 
644, 3.36, 0.55, 14.04, 
645, 3.36, 0.55, 14.06, 
646, 3.36, 0.55, 14.08, 
647, 3.36, 0.55, 14.09, 
648, 3.36, 0.55, 14.11, 
649, 3.36, 0.55, 14.13, 
650, 3.36, 0.55, 14.15, 
651, 3.36, 0.55, 14.17, 
652, 3.36, 0.55, 14.19, 
653, 3.37, 0.55, 14.21, 
654, 3.36, 0.55, 14.23, 
655, 3.36, 0.55, 14.25, 
656, 3.37, 0.55, 14.27, 
657, 3.36, 0.55, 14.28, 
658, 3.37, 0.55, 14.30, 
659, 3.36, 0.55, 14.32, 
660, 3.36, 0.55, 14.34, 
661, 3.36, 0.55, 14.36, 
662, 3.37, 0.55, 14.38, 
663, 3.36, 0.55, 14.40, 
664, 3.37, 0.55, 14.42, 
665, 3.37, 0.55, 14.44, 
666, 3.36, 0.55, 14.46, 
667, 3.37, 0.55, 14.47, 
668, 3.37, 0.55, 14.49, 
669, 3.37, 0.55, 14.51, 
670, 3.37, 0.55, 14.53, 
671, 3.37, 0.55, 14.55, 
672, 3.37, 0.55, 14.57, 
673, 3.37, 0.55, 14.59, 
674, 3.37, 0.54, 14.61, 
675, 3.37, 0.55, 14.63, 
676, 3.37, 0.55, 14.65, 
677, 3.37, 0.55, 14.66, 
678, 3.37, 0.55, 14.68, 
679, 3.37, 0.54, 14.70, 
680, 3.37, 0.55, 14.72, 
681, 3.37, 0.54, 14.74, 
682, 3.37, 0.54, 14.76, 
683, 3.37, 0.54, 14.78, 
684, 3.37, 0.54, 14.80, 
685, 3.37, 0.54, 14.82, 
686, 3.37, 0.54, 14.83, 
687, 3.37, 0.54, 14.85, 
688, 3.37, 0.54, 14.87, 
689, 3.37, 0.54, 14.89, 
690, 3.37, 0.54, 14.91, 
691, 3.37, 0.54, 14.93, 
692, 3.37, 0.54, 14.95, 
693, 3.37, 0.54, 14.97, 
694, 3.37, 0.54, 14.99, 
695, 3.37, 0.54, 15.00, 
696, 3.37, 0.54, 15.02, 
697, 3.37, 0.54, 15.04, 
698, 3.37, 0.54, 15.06, 
699, 3.37, 0.54, 15.08, 
700, 3.37, 0.54, 15.10, 
701, 3.37, 0.54, 15.12, 
702, 3.37, 0.54, 15.14, 
703, 3.37, 0.54, 15.16, 
704, 3.37, 0.54, 15.17, 
705, 3.38, 0.54, 15.19, 
706, 3.38, 0.54, 15.21, 
707, 3.37, 0.54, 15.23, 
708, 3.38, 0.54, 15.25, 
709, 3.37, 0.54, 15.27, 
710, 3.38, 0.54, 15.29, 
711, 3.38, 0.54, 15.31, 
712, 3.38, 0.54, 15.32, 
713, 3.38, 0.54, 15.34, 
714, 3.38, 0.54, 15.36, 
715, 3.38, 0.54, 15.38, 
716, 3.38, 0.54, 15.40, 
717, 3.38, 0.54, 15.42, 
718, 3.38, 0.54, 15.44, 
719, 3.38, 0.54, 15.46, 
720, 3.38, 0.54, 15.47, 
721, 3.38, 0.54, 15.49, 
722, 3.38, 0.54, 15.51, 
723, 3.38, 0.54, 15.53, 
724, 3.38, 0.54, 15.55, 
725, 3.38, 0.54, 15.57, 
726, 3.38, 0.54, 15.59, 
727, 3.38, 0.54, 15.61, 
728, 3.38, 0.54, 15.62, 
729, 3.38, 0.54, 15.64, 
